high,best_bid,last,cur,symbol,best_ask,vwap,max_bid,volume,low,min_ask,time
0.0,0.0,0.0,LTC,LTC/RUR,0.0,0.0,0.0,0.0,0.0,0.0,Mon Nov 27 18:27:08 2017
0.0,0.03658,0.0,ITI,ITI/ETH,0.09999999,0.0,0.03658,0.0,0.0,0.0,Mon Nov 27 18:27:08 2017
1.38e-06,1.01e-06,1.28e-06,BPC,BPC/BTC,1.28e-06,1.16e-06,1.38e-06,10746.7773195,1e-06,1e-06,Mon Nov 27 18:27:08 2017
1.72e-06,1.72e-06,1.72e-06,XRC,XRC/BTC,1.82e-06,1.71e-06,1.72e-06,35161.3286274,1.71e-06,1.71e-06,Mon Nov 27 18:27:08 2017
2.00226,2.00334,2.00226,BNT,BNT/USD,3.999,2.00226,2.00334,1.62319,2.00226,2.00226,Mon Nov 27 18:27:08 2017
0.0,0.0031002,0.0,ANT,ANT/ETH,0.00509301,0.0,0.00310022,0.0,0.0,0.00441826,Mon Nov 27 18:27:08 2017
0.00058985,0.00052899,0.00055289,MONA,MONA/BTC,0.00058982,0.00050789,0.00058985,17074.2305608,0.0004518,0.00023505,Mon Nov 27 18:27:08 2017
0.0,0.00024,0.0,EMC,EMC/DASH,0.00239789,0.0,0.00024,0.0,0.0,0.00239789,Mon Nov 27 18:27:08 2017
1e-05,0.0,1e-05,VRS,VRS/USD,1e-05,1e-05,1e-05,5476723.0984,1e-05,1e-05,Mon Nov 27 18:27:08 2017
0.0,0.0,0.0,DASH,DASH/RUR,0.0,0.0,0.0,0.0,0.0,0.0,Mon Nov 27 18:27:08 2017
0.0,6.40055,0.0,ITI,ITI/EUR,24.0,0.0,6.40055,0.0,0.0,10000.0,Mon Nov 27 18:27:08 2017
1e-05,0.0,1e-05,DIME,DIME/USD,1e-05,1e-05,1e-05,8350230.38528,1e-05,1e-05,Mon Nov 27 18:27:08 2017
0.0,16100.0,0.0,BCH,BCH/ZBC,147999.99998,0.0,16100.0,0.0,0.0,16050.0,Mon Nov 27 18:27:08 2017
0.00031,0.00029308,0.00031,EOS,EOS/BTC,0.000309,0.00027795,0.00031,11805.7875157,0.000248,0.000241,Mon Nov 27 18:27:08 2017
0.00127914,0.00118796,0.00127914,MNE,MNE/ETH,0.00127915,0.00114916,0.00127915,1588.01206913,0.00101791,0.00101791,Mon Nov 27 18:27:08 2017
